"Anho","Mes","Dia","Especie","Tipo_Flota","Puerto","Longitud","Latitud","Captura","Capacidad_Bodega","Anzuelos","Embarcaciones"
2008,12,21,"caballa","industrial","PAITA","834000W","060000S",49878,6,800,NA
2008,12,20,"caballa","industrial","PAITA","845000W","072000S",288100,15,1000,NA
2008,12,27,"caballa","industrial","LA PLANCHADA","733715W","165526S",14124,4,450,NA
2008,12,26,"caballa","industrial","LA PLANCHADA","733850W","165742S",50300,4,400,NA
2008,12,25,"caballa","industrial","LA PLANCHADA","734530W","170350S",82269,8,1000,NA
2008,12,26,"caballa","industrial","LA PLANCHADA","735602W","164902S",1764,6,500,NA
2008,12,26,"caballa","industrial","LA PLANCHADA","733900W","165600S",134937,5,600,NA
2008,12,24,"caballa","industrial","SALAVERRY","802500W","090000S",31500,6,1300,NA
2008,12,26,"caballa","industrial","LA PLANCHADA","734530W","170350S",32200,4,550,NA
2008,12,27,"caballa","industrial","MATARANI","724000W","175000S",2400,6,400,NA
2008,12,25,"caballa","industrial","LA PLANCHADA","735200W","164700S",96162,6,600,NA
2008,12,28,"caballa","industrial","MATARANI","724300W","175400S",7200,2,400,NA
2008,12,28,"caballa","industrial","MATARANI","724000W","175000S",32500,3,450,NA
2008,12,27,"caballa","industrial","ILO","721600W","174200S",15600,3,500,NA
2008,12,27,"caballa","industrial","MATARANI","724300W","175400S",46000,3,400,NA
2008,12,28,"caballa","industrial","MATARANI","724306W","174524S",21600,3,400,NA
2008,12,27,"caballa","industrial","MATARANI","731936W","172530S",100800,5,600,NA
2008,12,27,"caballa","industrial","LA PLANCHADA","734530W","170350S",11110,5,400,NA
2008,12,27,"caballa","industrial","MATARANI","731936W","172530S",28800,6,400,NA
2008,12,27,"caballa","industrial","MATARANI","731936W","172530S",7200,3,400,NA
2008,12,28,"caballa","industrial","MATARANI","724150W","174352S",8400,4,400,NA
2008,12,28,"caballa","industrial","MATARANI","730600W","173000S",34000,4,400,NA
2008,12,28,"caballa","industrial","MATARANI","723700W","174500S",12500,4,400,NA
2008,12,26,"caballa","industrial","PUCUSANA","775730W","131100S",0,8,1500,NA
2008,12,26,"caballa","industrial","LA PLANCHADA","733850W","165742S",15480,3,500,NA
2008,12,27,"caballa","industrial","MATARANI","731936W","172530S",39000,6,600,NA
2008,12,27,"caballa","industrial","MATARANI","732200W","172400S",12600,4,400,NA
2008,12,25,"caballa","industrial","LA PLANCHADA","730300W","172700S",126000,10,1300,NA
2008,12,28,"caballa","industrial","MATARANI","724030W","174706S",22100,4,400,NA
2008,12,26,"caballa","industrial","ILO","715230W","181030S",72000,4,550,NA
2008,12,27,"caballa","industrial","ILO","711800W","180800S",17480,4,200,NA
2008,12,28,"caballa","industrial","MATARANI","724000W","175000S",64400,3,400,NA
2008,12,25,"caballa","industrial","PUCUSANA","780800W","131300S",0,5,1500,NA
2008,12,26,"caballa","industrial","PUCUSANA","775208W","132104S",117000,10,1500,NA
2008,12,24,"caballa","industrial","ILO","721300W","183830S",161000,8,650,NA
2008,12,23,"caballa","industrial","ILO","733900W","165600S",128800,10,800,NA
2008,12,28,"caballa","industrial","PUCUSANA","775648W","130922S",94500,8,1500,NA
2008,12,26,"caballa","industrial","ILO","714748W","180812S",27600,3,360,NA
2008,12,27,"caballa","industrial","MATARANI","724000W","175000S",38000,6,400,NA
2008,12,28,"caballa","industrial","MATARANI","723700W","174500S",31000,3,400,NA
2008,12,26,"caballa","industrial","LA PLANCHADA","733600W","165100S",52800,3,500,NA
2008,12,21,"caballa","industrial","CHIMBOTE","794000W","110000S",119000,20,2000,NA
2008,12,23,"caballa","industrial","CHIMBOTE","795500W","104500S",210000,8,1500,NA
2008,12,29,"caballa","industrial","MATARANI","724022W","174206S",17100,2,400,NA
2008,12,29,"caballa","industrial","MATARANI","731050W","171614S",37600,2.5,400,NA
2008,12,26,"caballa","industrial","ATICO","742800W","171600S",73500,6,1000,NA
2008,12,27,"caballa","industrial","LA PLANCHADA","733557W","165238S",92750,5,450,NA
2008,12,27,"caballa","industrial","LA PLANCHADA","734700W","170400S",42940,4,500,NA
2008,12,29,"caballa","industrial","MATARANI","725200W","172630S",33600,3,400,NA
2008,12,29,"caballa","industrial","MATARANI","724045W","174242S",10800,3,400,NA
2008,12,28,"caballa","industrial","MATARANI","724045W","174242S",24000,3,400,NA
2008,12,28,"caballa","industrial","MATARANI","724030W","174706S",13500,8,400,NA
2008,12,28,"caballa","industrial","MATARANI","730300W","172700S",14000,7,600,NA
2008,12,29,"caballa","industrial","MATARANI","724030W","174706S",11000,3,400,NA
2008,12,29,"caballa","industrial","MATARANI","724030W","174706S",9000,4,400,NA
2008,12,28,"caballa","industrial","MATARANI","730000W","172300S",2500,4,400,NA
2008,12,29,"caballa","industrial","MATARANI","724000W","174138S",800,4,400,NA
2008,12,29,"caballa","industrial","MATARANI","724000W","175000S",20700,4,400,NA
2008,12,29,"caballa","industrial","MATARANI","724022W","174206S",74000,6,400,NA
2008,12,28,"caballa","industrial","MATARANI","730000W","172300S",17000,4,400,NA
2008,12,29,"caballa","industrial","MATARANI","730000W","172300S",47600,4,400,NA
