"Anho","Mes","Dia","Especie","Tipo_Flota","Puerto","Longitud","Latitud","Captura","Capacidad_Bodega","Anzuelos","Embarcaciones"
2008,12,21,"caballa","industrial","PAITA","834000W","060000S",134964,6,800,NA
2008,12,20,"caballa","industrial","PAITA","845000W","072000S",87100,15,1000,NA
2008,12,27,"caballa","industrial","LA PLANCHADA","733715W","165526S",112992,4,450,NA
2008,12,26,"caballa","industrial","LA PLANCHADA","733850W","165742S",14084,4,400,NA
2008,12,25,"caballa","industrial","LA PLANCHADA","734530W","170350S",21329,8,1000,NA
2008,12,26,"caballa","industrial","LA PLANCHADA","735602W","164902S",10584,6,500,NA
2008,12,26,"caballa","industrial","LA PLANCHADA","733900W","165600S",80388,5,600,NA
2008,12,24,"caballa","industrial","SALAVERRY","802500W","090000S",45500,6,1300,NA
2008,12,26,"caballa","industrial","LA PLANCHADA","734530W","170350S",38640,4,550,NA
2008,12,27,"caballa","industrial","MATARANI","724000W","175000S",1600,6,400,NA
2008,12,25,"caballa","industrial","LA PLANCHADA","735200W","164700S",214179,6,600,NA
2008,12,28,"caballa","industrial","MATARANI","724300W","175400S",15200,2,400,NA
2008,12,28,"caballa","industrial","MATARANI","724000W","175000S",24700,3,450,NA
2008,12,27,"caballa","industrial","ILO","721600W","174200S",46800,3,500,NA
2008,12,27,"caballa","industrial","MATARANI","724300W","175400S",11000,3,400,NA
2008,12,28,"caballa","industrial","MATARANI","724306W","174524S",18900,3,400,NA
2008,12,27,"caballa","industrial","MATARANI","731936W","172530S",67200,5,600,NA
2008,12,27,"caballa","industrial","LA PLANCHADA","734530W","170350S",30300,5,400,NA
2008,12,27,"caballa","industrial","MATARANI","731936W","172530S",32400,6,400,NA
2008,12,27,"caballa","industrial","MATARANI","731936W","172530S",22500,3,400,NA
2008,12,28,"caballa","industrial","MATARANI","724150W","174352S",11700,4,400,NA
2008,12,28,"caballa","industrial","MATARANI","730600W","173000S",21000,4,400,NA
2008,12,28,"caballa","industrial","MATARANI","723700W","174500S",17500,4,400,NA
2008,12,26,"caballa","industrial","PUCUSANA","775730W","131100S",62000,8,1500,NA
2008,12,26,"caballa","industrial","LA PLANCHADA","733850W","165742S",73960,3,500,NA
2008,12,27,"caballa","industrial","MATARANI","731936W","172530S",37000,6,600,NA
2008,12,27,"caballa","industrial","MATARANI","732200W","172400S",23800,4,400,NA
2008,12,25,"caballa","industrial","LA PLANCHADA","730300W","172700S",84000,10,1300,NA
2008,12,28,"caballa","industrial","MATARANI","724030W","174706S",30600,4,400,NA
2008,12,26,"caballa","industrial","ILO","715230W","181030S",1600,4,550,NA
2008,12,27,"caballa","industrial","ILO","711800W","180800S",9880,4,200,NA
2008,12,28,"caballa","industrial","MATARANI","724000W","175000S",48300,3,400,NA
2008,12,25,"caballa","industrial","PUCUSANA","780800W","131300S",99000,5,1500,NA
2008,12,26,"caballa","industrial","PUCUSANA","775208W","132104S",27000,10,1500,NA
2008,12,24,"caballa","industrial","ILO","721300W","183830S",147000,8,650,NA
2008,12,23,"caballa","industrial","ILO","733900W","165600S",11200,10,800,NA
2008,12,28,"caballa","industrial","PUCUSANA","775648W","130922S",35000,8,1500,NA
2008,12,26,"caballa","industrial","ILO","714748W","180812S",21600,3,360,NA
2008,12,27,"caballa","industrial","MATARANI","724000W","175000S",53200,6,400,NA
2008,12,28,"caballa","industrial","MATARANI","723700W","174500S",47000,3,400,NA
