"Anho","Mes","Dia","Especie","Tipo_Flota","Puerto","Longitud","Latitud","Captura","Capacidad_Bodega","Anzuelos","Embarcaciones"
2008,12,21,"caballa","industrial","PAITA","834000W","060000S",55746,6,800,NA
2008,12,20,"caballa","industrial","PAITA","845000W","072000S",40200,15,1000,NA
2008,12,27,"caballa","industrial","LA PLANCHADA","733715W","165526S",25894,4,450,NA
2008,12,26,"caballa","industrial","LA PLANCHADA","733850W","165742S",12072,4,400,NA
2008,12,25,"caballa","industrial","LA PLANCHADA","734530W","170350S",70081,8,1000,NA
2008,12,26,"caballa","industrial","LA PLANCHADA","735602W","164902S",49392,6,500,NA
2008,12,26,"caballa","industrial","LA PLANCHADA","733900W","165600S",68904,5,600,NA
2008,12,24,"caballa","industrial","SALAVERRY","802500W","090000S",31500,6,1300,NA
2008,12,26,"caballa","industrial","LA PLANCHADA","734530W","170350S",74060,4,550,NA
2008,12,27,"caballa","industrial","MATARANI","724000W","175000S",14000,6,400,NA
2008,12,25,"caballa","industrial","LA PLANCHADA","735200W","164700S",69936,6,600,NA
2008,12,28,"caballa","industrial","MATARANI","724300W","175400S",3200,2,400,NA
2008,12,28,"caballa","industrial","MATARANI","724000W","175000S",14300,3,450,NA
2008,12,27,"caballa","industrial","ILO","721600W","174200S",48100,3,500,NA
2008,12,27,"caballa","industrial","MATARANI","724300W","175400S",15000,3,400,NA
2008,12,28,"caballa","industrial","MATARANI","724306W","174524S",21600,3,400,NA
2008,12,27,"caballa","industrial","MATARANI","731936W","172530S",14400,5,600,NA
2008,12,27,"caballa","industrial","LA PLANCHADA","734530W","170350S",30300,5,400,NA
2008,12,27,"caballa","industrial","MATARANI","731936W","172530S",9900,6,400,NA
2008,12,27,"caballa","industrial","MATARANI","731936W","172530S",5400,3,400,NA
2008,12,28,"caballa","industrial","MATARANI","724150W","174352S",1800,4,400,NA
2008,12,28,"caballa","industrial","MATARANI","730600W","173000S",2000,4,400,NA
2008,12,28,"caballa","industrial","MATARANI","723700W","174500S",60000,4,400,NA
2008,12,26,"caballa","industrial","PUCUSANA","775730W","131100S",37200,8,1500,NA
2008,12,26,"caballa","industrial","LA PLANCHADA","733850W","165742S",5160,3,500,NA
2008,12,27,"caballa","industrial","MATARANI","731936W","172530S",17000,6,600,NA
2008,12,27,"caballa","industrial","MATARANI","732200W","172400S",33600,4,400,NA
2008,12,25,"caballa","industrial","LA PLANCHADA","730300W","172700S",117600,10,1300,NA
2008,12,28,"caballa","industrial","MATARANI","724030W","174706S",62900,4,400,NA
2008,12,26,"caballa","industrial","ILO","715230W","181030S",57600,4,550,NA
2008,12,27,"caballa","industrial","ILO","711800W","180800S",9880,4,200,NA
2008,12,28,"caballa","industrial","MATARANI","724000W","175000S",20700,3,400,NA
2008,12,25,"caballa","industrial","PUCUSANA","780800W","131300S",30000,5,1500,NA
2008,12,26,"caballa","industrial","PUCUSANA","775208W","132104S",33000,10,1500,NA
2008,12,24,"caballa","industrial","ILO","721300W","183830S",42000,8,650,NA
2008,12,23,"caballa","industrial","ILO","733900W","165600S",14000,10,800,NA
2008,12,28,"caballa","industrial","PUCUSANA","775648W","130922S",73500,8,1500,NA
2008,12,26,"caballa","industrial","ILO","714748W","180812S",20400,3,360,NA
2008,12,27,"caballa","industrial","MATARANI","724000W","175000S",108300,6,400,NA
2008,12,28,"caballa","industrial","MATARANI","723700W","174500S",40000,3,400,NA
2008,12,26,"caballa","industrial","LA PLANCHADA","733600W","165100S",9900,3,500,NA
2008,12,21,"caballa","industrial","CHIMBOTE","794000W","110000S",272000,20,2000,NA
2008,12,23,"caballa","industrial","CHIMBOTE","795500W","104500S",15000,8,1500,NA
2008,12,29,"caballa","industrial","MATARANI","724022W","174206S",12600,2,400,NA
2008,12,29,"caballa","industrial","MATARANI","731050W","171614S",16000,2.5,400,NA
2008,12,26,"caballa","industrial","ATICO","742800W","171600S",91000,6,1000,NA
2008,12,27,"caballa","industrial","LA PLANCHADA","733557W","165238S",39750,5,450,NA
2008,12,27,"caballa","industrial","LA PLANCHADA","734700W","170400S",85880,4,500,NA
2008,12,29,"caballa","industrial","MATARANI","725200W","172630S",23200,3,400,NA
2008,12,29,"caballa","industrial","MATARANI","724045W","174242S",25200,3,400,NA
2008,12,28,"caballa","industrial","MATARANI","724045W","174242S",42000,3,400,NA
2008,12,28,"caballa","industrial","MATARANI","724030W","174706S",500,8,400,NA
2008,12,28,"caballa","industrial","MATARANI","730300W","172700S",5000,7,600,NA
2008,12,29,"caballa","industrial","MATARANI","724030W","174706S",1100,3,400,NA
2008,12,29,"caballa","industrial","MATARANI","724030W","174706S",15500,4,400,NA
2008,12,28,"caballa","industrial","MATARANI","730000W","172300S",4500,4,400,NA
2008,12,29,"caballa","industrial","MATARANI","724000W","174138S",33600,4,400,NA
2008,12,29,"caballa","industrial","MATARANI","724000W","175000S",21600,4,400,NA
2008,12,29,"caballa","industrial","MATARANI","724022W","174206S",54000,6,400,NA
2008,12,28,"caballa","industrial","MATARANI","730000W","172300S",1700,4,400,NA
2008,12,29,"caballa","industrial","MATARANI","730000W","172300S",30800,4,400,NA
2008,12,29,"caballa","industrial","MATARANI","725858W","172004S",10800,4,400,NA
2008,12,29,"caballa","industrial","MATARANI","723700W","174500S",7000,3,400,NA
2008,12,28,"caballa","industrial","MATARANI","730300W","172700S",55500,4,400,NA
2008,12,28,"caballa","industrial","MATARANI","723700W","174500S",11000,3,400,NA
2008,12,27,"caballa","industrial","LA PLANCHADA","731600W","171900S",55000,6,700,NA
2008,12,29,"caballa","industrial","MATARANI","730300W","172700S",38400,3,400,NA
2008,12,26,"caballa","industrial","PUCUSANA","781156W","122855S",95000,8,1500,NA
2008,12,26,"caballa","industrial","PUCUSANA","775730W","131100S",30000,8,1500,NA
2008,12,25,"caballa","industrial","PUCUSANA","775730W","131100S",52000,10,1500,NA
2008,12,26,"caballa","industrial","PUCUSANA","781312W","122950S",137500,8,1500,NA
2008,12,28,"caballa","industrial","MATARANI","725200W","172630S",9900,2,400,NA
2008,12,29,"caballa","industrial","MATARANI","723910W","174018S",27300,3,400,NA
2008,12,25,"caballa","industrial","PUCUSANA","774910W","131816S",159650,8,1500,NA
2008,12,21,"caballa","industrial","PAITA","851000W","090000S",112800,10,900,NA
2008,12,21,"caballa","industrial","CHIMBOTE","810000W","113200S",260000,12,2200,NA
2008,12,27,"caballa","industrial","CHIMBOTE","800000W","115000S",160000,10,1900,NA
2008,12,20,"caballa","industrial","CHIMBOTE","794500W","110000S",210000,15,2100,NA
2008,12,30,"caballa","industrial","MATARANI","724306W","174524S",16000,3,400,NA
2008,12,29,"caballa","industrial","LA PLANCHADA","734530W","170350S",14640,6,600,NA
2008,12,28,"caballa","industrial","LA PLANCHADA","733850W","165742S",30400,4,450,NA
2008,12,28,"caballa","industrial","LA PLANCHADA","732312W","170312S",62400,5,450,NA
2008,12,30,"caballa","industrial","MATARANI","723700W","174500S",60800,3,400,NA
2008,12,30,"caballa","industrial","MATARANI","724342W","175106S",104000,7,600,NA
2008,12,30,"caballa","industrial","MATARANI","723700W","174500S",33300,3,400,NA
2008,12,28,"caballa","industrial","LA PLANCHADA","730654W","171000S",37200,3,400,NA
2008,12,30,"caballa","industrial","MATARANI","724000W","175000S",87500,7,600,NA
2008,12,30,"caballa","industrial","MATARANI","730600W","173000S",40600,8,600,NA
2008,12,30,"caballa","industrial","MATARANI","723700W","174500S",22800,7,600,NA
2008,12,30,"caballa","industrial","MATARANI","724030W","174706S",10800,5,400,NA
2008,12,30,"caballa","industrial","MATARANI","725200W","172630S",112100,3,600,NA
2008,12,28,"caballa","industrial","LA PLANCHADA","734700W","170400S",46200,7,450,NA
2008,12,30,"caballa","industrial","MATARANI","730600W","173000S",36000,4,600,NA
2008,12,29,"caballa","industrial","LA PLANCHADA","730950W","171210S",2560,4,400,NA
2008,12,30,"caballa","industrial","MATARANI","731936W","172530S",12000,3,400,NA
2008,12,29,"caballa","industrial","LA PLANCHADA","733850W","165742S",36750,7,500,NA
2008,12,25,"caballa","industrial","PAITA","841000W","062000S",266500,20,1000,NA
2008,12,20,"caballa","industrial","PAITA","845000W","085000S",80000,15,1000,NA
2008,12,25,"caballa","industrial","CHIMBOTE","793000W","110000S",30000,12,2000,NA
2008,12,22,"caballa","industrial","CHIMBOTE","803000W","114000S",31500,20,2250,NA
2008,12,30,"caballa","industrial","MATARANI","724000W","174138S",26000,3,400,NA
2008,12,25,"caballa","industrial","PAITA","842000W","055000S",124000,7,1000,NA
2008,12,24,"caballa","industrial","PAITA","833000W","070000S",320000,15,1000,NA
2008,12,23,"caballa","industrial","PAITA","842000W","075000S",24000,12,1000,NA
2008,12,25,"caballa","industrial","PAITA","842736W","061000S",202500,25,1000,NA
2008,12,26,"caballa","industrial","SALAVERRY","803500W","090000S",94500,7,1000,NA
2008,12,26,"caballa","industrial","CHIMBOTE","800000W","111500S",60000,10,2200,NA
2008,12,31,"caballa","industrial","MATARANI","723642W","173736S",4000,3,400,NA
2008,12,31,"caballa","industrial","MATARANI","724000W","174138S",9000,3,400,NA
2008,12,29,"caballa","industrial","LA PLANCHADA","734530W","170350S",2100,2.5,450,NA
2008,12,30,"caballa","industrial","LA PLANCHADA","734056W","170302S",36400,4,1200,NA
2008,12,28,"caballa","industrial","LA PLANCHADA","734242W","171625S",84420,4,650,NA
2008,12,28,"caballa","industrial","LA PLANCHADA","734752W","170602S",7335,6,600,NA
2008,12,30,"caballa","industrial","MATARANI","730000W","172300S",41600,3,400,NA
2008,12,30,"caballa","industrial","MATARANI","724210W","172300S",13300,3,400,NA
2008,12,31,"caballa","industrial","MATARANI","722630W","173416S",24000,3,400,NA
2008,12,30,"caballa","industrial","MATARANI","723000W","173300S",6600,6,400,NA
2008,12,30,"caballa","industrial","MATARANI","731600W","171900S",18200,3,400,NA
2008,12,31,"caballa","industrial","MATARANI","731600W","171900S",34800,3,400,NA
2008,12,31,"caballa","industrial","MATARANI","725200W","172630S",3900,4,400,NA
2008,12,31,"caballa","industrial","MATARANI","724800W","171800S",121800,4,400,NA
2008,12,30,"caballa","industrial","MATARANI","731600W","171900S",4800,3,400,NA
2008,12,31,"caballa","industrial","MATARANI","725200W","172630S",18000,5,400,NA
2008,12,31,"caballa","industrial","MATARANI","725200W","172630S",43700,4,400,NA
2008,12,31,"caballa","industrial","MATARANI","724022W","174206S",28800,4,400,NA
2009,1,1,"caballa","industrial","MATARANI","725200W","172630S",41600,4,400,NA
2008,12,30,"caballa","industrial","MATARANI","723942W","173622S",0,5,400,NA
2008,12,31,"caballa","industrial","MATARANI","731050W","171614S",36000,7,400,NA
2008,12,30,"caballa","industrial","MATARANI","725754W","172002S",96800,5,400,NA
2008,12,31,"caballa","industrial","MATARANI","725200W","172630S",4800,3,400,NA
2008,12,31,"caballa","industrial","MATARANI","731050W","171810S",50400,5,400,NA
2008,12,30,"caballa","industrial","MATARANI","723910W","174018S",600,4,600,NA
2008,12,29,"caballa","industrial","ILO","714145W","180615S",15840,2,400,NA
2008,12,28,"caballa","industrial","ILO","714018W","180130S",60000,2,380,NA
2008,12,28,"caballa","industrial","ILO","714748W","180812S",20000,4,600,NA
2008,12,28,"caballa","industrial","ILO","721630W","171030S",16000,4,500,NA
2008,12,28,"caballa","industrial","ILO","722200W","173000S",57500,6,700,NA
2008,12,25,"caballa","industrial","PUCUSANA","780202W","131230S",357000,10,1500,NA
2008,12,25,"caballa","industrial","PUCUSANA","781348W","131644S",61200,7,1500,NA
2008,12,25,"caballa","industrial","PUCUSANA","782616W","122902S",61600,15,1500,NA
2008,12,25,"caballa","industrial","PUCUSANA","781536W","131710S",102000,8,1500,NA
2008,12,28,"caballa","industrial","ILO","721200W","184450S",60000,15,800,NA
2008,12,29,"caballa","industrial","ILO","714748W","180812S",13050,9,400,NA
2008,12,26,"caballa","industrial","LA PLANCHADA","734006W","171955S",22050,7,700,NA
2008,12,26,"caballa","industrial","ILO","734056W","170302S",102600,12,1000,NA
2008,12,28,"caballa","industrial","ILO","733300W","164800S",76000,10,1200,NA
2008,12,24,"caballa","industrial","PAITA","843000W","074000S",36000,15,1000,NA
2008,12,24,"caballa","industrial","PAITA","845000W","073500S",183090,8,900,NA
2008,12,27,"caballa","industrial","CHIMBOTE","794500W","111000S",204000,10,1600,NA
2008,12,25,"caballa","industrial","PUCUSANA","782306W","122920S",66500,15,1500,NA
2008,12,28,"caballa","industrial","LA PLANCHADA","734700W","170400S",16000,4,500,NA
2008,12,31,"caballa","industrial","MATARANI","724530W","173030S",41600,3,400,NA
2008,12,30,"caballa","industrial","MATARANI","723910W","174018S",15500,3,400,NA
2008,12,31,"caballa","industrial","MATARANI","723942W","173622S",7800,3,400,NA
2008,12,31,"caballa","industrial","MATARANI","723350W","173430S",18200,3,400,NA
2008,12,31,"caballa","industrial","MATARANI","723605W","173700S",51300,7,400,NA
2008,12,25,"caballa","industrial","PUCUSANA","781348W","131644S",0,8,1500,NA
2008,12,28,"caballa","industrial","ILO","715330W","181400S",72000,5,600,NA
2008,12,27,"caballa","industrial","CHIMBOTE","795000W","110000S",367200,10,1800,NA
2008,12,28,"caballa","industrial","CHIMBOTE","794500W","104000S",0,6,1084,NA
2008,12,26,"caballa","industrial","SALAVERRY","810000W","092400S",130000,20,1500,NA
2008,12,26,"caballa","industrial","CHIMBOTE","801000W","104000S",312000,13,2400,NA
2008,12,26,"caballa","industrial","CHIMBOTE","803500W","114500S",112000,14,2100,NA
2008,12,26,"caballa","industrial","CHIMBOTE","800000W","110000S",115500,18,2300,NA
2008,12,29,"caballa","industrial","CHIMBOTE","802000W","094000S",71500,8,2000,NA
2009,1,1,"caballa","industrial","MATARANI","723642W","173736S",11000,5,400,NA
2008,12,31,"caballa","industrial","MATARANI","724500W","172900S",12000,2,400,NA
2009,1,1,"caballa","industrial","LA PLANCHADA","730818W","171100S",42840,3,550,NA
2008,12,31,"caballa","industrial","MATARANI","730600W","173000S",59500,4,400,NA
2008,12,31,"caballa","industrial","LA PLANCHADA","734654W","170900S",69700,9,1200,NA
2008,12,29,"caballa","industrial","LA PLANCHADA","731600W","171900S",51200,5,700,NA
2009,1,1,"caballa","industrial","MATARANI","723328W","173312S",5400,3,400,NA
2008,12,28,"caballa","industrial","ILO","715230W","181030S",16000,4,600,NA
2009,1,1,"caballa","industrial","MATARANI","723000W","173300S",3300,4,400,NA
2009,1,1,"caballa","industrial","MATARANI","723000W","173300S",15600,3,400,NA
2008,12,31,"caballa","industrial","MATARANI","730600W","173000S",35000,4,400,NA
2009,1,1,"caballa","industrial","MATARANI","723000W","173300S",4200,3,400,NA
2008,12,31,"caballa","industrial","MATARANI","723942W","173622S",10800,4,400,NA
2008,12,31,"caballa","industrial","MATARANI","730300W","172700S",17600,4,400,NA
2008,12,31,"caballa","industrial","LA PLANCHADA","734530W","170350S",110200,6,650,NA
2008,12,28,"caballa","industrial","ILO","723000W","173300S",30600,4,500,NA
